Entity,Code,Day,Weekly deaths
United Kingdom,GBR,2021-09-04,909
United Kingdom,GBR,2021-09-05,921
United Kingdom,GBR,2021-09-06,932
United Kingdom,GBR,2021-09-07,956
United Kingdom,GBR,2021-09-08,1005
United Kingdom,GBR,2021-09-09,1042
United Kingdom,GBR,2021-09-10,1060
United Kingdom,GBR,2021-09-11,1104
United Kingdom,GBR,2021-09-12,1103
United Kingdom,GBR,2021-09-13,1103
United Kingdom,GBR,2021-09-14,1081
United Kingdom,GBR,2021-09-15,1042
United Kingdom,GBR,2021-09-16,1047
United Kingdom,GBR,2021-09-17,1072
United Kingdom,GBR,2021-09-18,1054
United Kingdom,GBR,2021-09-19,1088
United Kingdom,GBR,2021-09-20,1080
United Kingdom,GBR,2021-09-21,1076
United Kingdom,GBR,2021-09-22,1117
United Kingdom,GBR,2021-09-23,1086
United Kingdom,GBR,2021-09-24,1076
United Kingdom,GBR,2021-09-25,1063
United Kingdom,GBR,2021-09-26,1018
United Kingdom,GBR,2021-09-27,1008
United Kingdom,GBR,2021-09-28,982
United Kingdom,GBR,2021-09-29,950
United Kingdom,GBR,2021-09-30,932
United Kingdom,GBR,2021-10-01,915
United Kingdom,GBR,2021-10-02,895
United Kingdom,GBR,2021-10-03,895
United Kingdom,GBR,2021-10-04,885
United Kingdom,GBR,2021-10-05,880
United Kingdom,GBR,2021-10-06,866
United Kingdom,GBR,2021-10-07,880
United Kingdom,GBR,2021-10-08,853
United Kingdom,GBR,2021-10-09,857
United Kingdom,GBR,2021-10-10,840
United Kingdom,GBR,2021-10-11,844
United Kingdom,GBR,2021-10-12,852
United Kingdom,GBR,2021-10-13,877
United Kingdom,GBR,2021-10-14,878
United Kingdom,GBR,2021-10-15,901
United Kingdom,GBR,2021-10-16,929
United Kingdom,GBR,2021-10-17,947
United Kingdom,GBR,2021-10-18,976
United Kingdom,GBR,2021-10-19,1003
United Kingdom,GBR,2021-10-20,1004
United Kingdom,GBR,2021-10-21,1010
United Kingdom,GBR,2021-10-22,1027
United Kingdom,GBR,2021-10-23,1030
United Kingdom,GBR,2021-10-24,1040
United Kingdom,GBR,2021-10-25,1062
United Kingdom,GBR,2021-10-26,1088
United Kingdom,GBR,2021-10-27,1098
United Kingdom,GBR,2021-10-28,1134
United Kingdom,GBR,2021-10-29,1157
United Kingdom,GBR,2021-10-30,1192
